"title","domain","difficulty","blurb","angles","seed_context","tags"
"Banking","Ideas","Intermediate","The system of storing, lending, and managing money through institutions.","[""Why is banking critical?"",""How does it support economies?""]","Banks existed in Mesopotamia and Renaissance Italy.\nThey enable credit, trade, and modern economies.","finance, money, economy"
"Universal Suffrage","Ideas","Intermediate","The right of all adult citizens to vote in elections.","[""Why did suffrage expand?"",""How did movements secure it?""]","Universal suffrage spread gradually in the 19th–20th centuries.\nActivists fought for inclusion regardless of wealth or gender.","democracy, voting, rights"
"Photosynthesis","Ideas","Intermediate","Process where plants convert sunlight into energy.","[""Why is photosynthesis vital for life?"",""How does it connect ecosystems?""]","Photosynthesis converts sunlight, carbon dioxide, and water into glucose.\nIt sustains life and oxygen supply.","plants, energy, biology"
"Currency Systems","Ideas","Intermediate","Organized use of money and value exchange across societies.","[""Why do currencies matter?"",""How do systems change over time?""]","From coins to digital money, currencies evolve.\nThey stabilize trade and economic growth.","money, economy, trade"
"Feminism","Ideas","Intermediate","Movement advocating equality for women and challenging gender roles.","[""Why did feminism emerge in waves?"",""How did it reshape laws and culture?""]","From Mary Wollstonecraft to modern activists, feminism has pushed for equal rights.\nIt remains central to social progress.","gender, equality, activism"
"Postmodernism","Ideas","Advanced","A philosophical movement skeptical of universal truths and grand narratives.","[""Why does postmodernism challenge certainty?"",""How does it affect culture and politics?""]","Emerging in the mid-20th century, postmodernism critiques modernist ideals.\nThinkers like Lyotard and Derrida emphasized relativism.","philosophy, culture, skepticism"
"Artificial Intelligence Ethics","Ideas","Advanced","Explores moral and societal questions surrounding the use of AI systems.","[""How should we regulate AI?"",""What risks come with automation?""]","AI ethics examines fairness, transparency, and bias.\nIt is a rapidly growing field with global implications.","technology, ethics, ai"
"Game Theory","Ideas","Advanced","The study of strategic decision-making among rational actors.","[""Why does game theory explain conflict?"",""How is it applied in economics and politics?""]","Developed in the 20th century by John von Neumann and John Nash.\nIt models choices in economics, war, and cooperation.","math, strategy, economics"
"Existentialism","Ideas","Advanced","A philosophy emphasizing individual freedom, choice, and meaning-making.","[""Why does existentialism resonate in modern times?"",""How do Sartre and Camus differ?""]","Existentialism grew in 19th–20th century Europe.\nIt focuses on authenticity and confronting absurdity.","philosophy, freedom, meaning"
"Chaos Theory","Ideas","Advanced","Study of complex systems where small changes cause unpredictable effects.","[""Why does chaos theory matter in science?"",""How is it applied in weather or finance?""]","Developed in the late 20th century, chaos theory shows nonlinear dynamics.\nIt explains phenomena like the butterfly effect.","math, complexity, science"
"Utilitarianism","Ideas","Advanced","Ethical theory that actions are right if they maximize happiness or utility.","[""Why is utilitarianism debated?"",""How does it handle justice?""]","Developed by Bentham and Mill in the 18th–19th centuries.\nIt remains central in moral philosophy and policy.","ethics, philosophy, happiness"
"Transhumanism","Ideas","Advanced","The belief in enhancing humans with technology to overcome biological limits.","[""What risks come with human enhancement?"",""How does it challenge identity?""]","Emerging in the 20th century, transhumanism explores genetic, AI, and biotech enhancements.\nIt provokes ethical and existential debates.","technology, future, ethics"
"Social Constructivism","Ideas","Advanced","The theory that knowledge and meaning are shaped by social interactions.","[""Why is reality seen as constructed?"",""How does this affect science?""]","Constructivism in sociology and philosophy shows how culture frames knowledge.\nIt challenges claims of objectivity.","sociology, philosophy, knowledge"
"Quantum Entanglement","Ideas","Advanced","Phenomenon where particles remain linked across distance, defying classical physics.","[""Why does entanglement puzzle scientists?"",""How is it used in quantum computing?""]","Einstein called it “spooky action at a distance.”\nEntanglement is proven experimentally and used in secure communication.","physics, quantum, entanglement"
"Deconstruction","Ideas","Advanced","A method of analysis that questions fixed meanings in texts and ideas.","[""Why does deconstruction unsettle tradition?"",""How did Derrida reshape philosophy?""]","Developed by Jacques Derrida in the 1960s.\nIt critiques binary oppositions and assumptions in language.","philosophy, literature, language"
"Critical Race Theory","Ideas","Advanced","A framework analyzing how law and institutions perpetuate racial inequality.","[""Why is CRT contested politically?"",""How does it expand civil rights analysis?""]","Critical Race Theory emerged in U.S. law schools in the 1970s.\nIt studies systemic racism and power structures.","law, race, justice"
"Anthropocene","Ideas","Advanced","The proposed geological epoch where humans dominate Earth’s environment.","[""Why is this epoch debated?"",""How do humans reshape geology?""]","The Anthropocene highlights human-driven climate and ecological change.\nIt is discussed by scientists and policymakers.","climate, geology, humanity"
"Dialectical Materialism","Ideas","Advanced","Marxist framework where history advances through class struggles and contradictions.","[""Why is conflict central to progress?"",""How has it been applied politically?""]","Marx and Engels proposed dialectical materialism in the 19th century.\nIt became central in socialist and communist movements.","marxism, history, philosophy"
"String Theory","Ideas","Advanced","A theoretical physics framework suggesting particles are tiny vibrating strings.","[""Why is string theory controversial?"",""Could it unify physics?""]","Emerging in late 20th century physics.\nIt attempts to unify quantum mechanics with relativity but lacks proof.","physics, theory, cosmology"
"Pragmatism","Ideas","Advanced","An American philosophy valuing ideas for their practical consequences.","[""Why is truth seen as useful?"",""How did pragmatism influence science?""]","Developed by Peirce, James, and Dewey.\nIt connects knowledge to experience and results.","philosophy, usa, practicality"
"Panopticism","Ideas","Advanced","Concept from Foucault describing surveillance and power in modern societies.","[""Why is surveillance central to control?"",""How does digital life extend panopticism?""]","Inspired by Bentham’s prison design, Foucault used panopticism to explain discipline.\nIt applies to schools, workplaces, and states.","surveillance, power, society"
"Epistemology","Ideas","Advanced","The philosophical study of knowledge, its scope, and limits.","[""Why question how we know?"",""How does epistemology affect science?""]","Epistemology explores justification, belief, and truth.\nIt has roots in ancient Greece and continues today.","philosophy, knowledge, truth"
"Postcolonialism","Ideas","Advanced","An intellectual framework analyzing the legacy of colonialism.","[""Why is identity central to postcolonial thought?"",""How do literature and politics reflect it?""]","Postcolonialism grew after WWII as colonies gained independence.\nThinkers like Said and Spivak shaped the field.","colonialism, identity, culture"
"Systems Theory","Ideas","Advanced","The study of complex systems and interactions within them.","[""Why does systems thinking matter?"",""How does it apply across sciences?""]","Developed in 20th century science.\nIt examines ecosystems, organizations, and machines holistically.","systems, complexity, science"
"Virtue Ethics","Ideas","Advanced","Philosophical approach emphasizing character and moral virtues.","[""Why focus on virtues over rules?"",""How did Aristotle frame it?""]","Aristotle’s ethics emphasized cultivating virtues.\nModern thinkers revived it to balance rule-based ethics.","ethics, philosophy, morality"
"Memetics","Ideas","Advanced","Theory that ideas spread like genes, evolving through culture.","[""Why compare ideas to biology?"",""How does internet culture reflect memes?""]","Richard Dawkins coined “meme” in 1976.\nIt sparked study of cultural evolution and replication.","culture, evolution, memes"
"Globalization","Ideas","Advanced","The interconnectedness of economies, politics, and cultures worldwide.","[""Why is globalization controversial?"",""How does it affect inequality?""]","Globalization accelerated in the late 20th century.\nIt involves trade, communication, and cultural blending.","economy, politics, culture"
"Structuralism","Ideas","Advanced","Intellectual movement analyzing structures underlying language and culture.","[""Why did structuralism focus on systems?"",""How did it influence anthropology?""]","Developed in the 20th century by Saussure and Lévi-Strauss.\nIt sought patterns in culture, myths, and language.","linguistics, anthropology, philosophy"
"Posthumanism","Ideas","Advanced","Philosophy challenging human-centered thinking, exploring humans with technology and nature.","[""Why move beyond humanism?"",""How does posthumanism see identity?""]","Posthumanism critiques human exceptionalism.\nIt connects with ecology, AI, and cyborg theory.","philosophy, technology, ecology"
"Multiverse Theory","Ideas","Advanced","Hypothesis that our universe is one of many existing parallel universes.","[""Why does multiverse theory fascinate?"",""How can it be tested?""]","Emerging from physics and cosmology.\nIt suggests multiple universes with different laws of physics.","cosmology, physics, theory"
"Intersectionality","Ideas","Advanced","Concept analyzing how overlapping identities affect oppression and privilege.","[""Why is identity multifaceted?"",""How does it shape inequality?""]","Coined by Kimberlé Crenshaw in 1989.\nIt explores how race, gender, and class intersect in experiences.","feminism, race, identity"
"Cognitive Dissonance","Ideas","Advanced","Psychological theory that people feel discomfort when holding conflicting beliefs.","[""Why do humans rationalize?"",""How does dissonance affect decisions?""]","Proposed by Leon Festinger in 1957.\nIt shows how people adjust beliefs or behaviors to reduce tension.","psychology, mind, behavior"
"Rational Choice Theory","Ideas","Advanced","Economic and sociological theory assuming people act to maximize benefit.","[""Why is rationality questioned?"",""How is it applied in politics?""]","Rational choice theory models decisions mathematically.\nIt is influential but criticized for oversimplification.","economics, sociology, decisions"
"Phenomenology","Ideas","Advanced","Philosophical method studying direct human experience and consciousness.","[""Why study subjective experience?"",""How did Husserl and Heidegger shape it?""]","Developed in early 20th century philosophy.\nIt influenced psychology, literature, and existentialism.","philosophy, experience, consciousness"
"American Revolution","History","Beginner","The war in which the thirteen American colonies won independence from Britain.","[""Why did colonists want independence?"",""How did the revolution inspire others?""]","Fought from 1775–1783, the American Revolution ended with U.S. independence.\nThe Declaration of Independence was signed in 1776.","usa, revolution, independence"
"French Revolution","History","Beginner","A popular uprising that overthrew the French monarchy and changed society.","[""Why did the French rebel?"",""What symbols came from the revolution?""]","Beginning in 1789, the revolution ended absolute monarchy.\nIt brought ideas of liberty, equality, and fraternity.","france, revolution, liberty"
"World War I","History","Beginner","A global war mainly in Europe, sparked by the assassination of Archduke Franz Ferdinand.","[""Why was WWI called the Great War?"",""How did alliances fuel the conflict?""]","Lasting from 1914–1918, WWI involved trench warfare.\nIt ended with millions dead and the Treaty of Versailles.","wwi, europe, war"
"World War II","History","Beginner","The largest global war, involving most nations and resulting in Allied victory.","[""Why did WWII involve so many nations?"",""How did it reshape the world?""]","Fought from 1939–1945, WWII saw Nazi Germany defeated.\nIt ended with the atomic bomb and creation of the UN.","wwii, allies, global"
"Cold War","History","Beginner","A period of tension between the United States and the Soviet Union after WWII.","[""Why was it called a 'cold' war?"",""How did nuclear weapons shape it?""]","Lasting from 1947–1991, the Cold War saw rivalry without direct large-scale war.\nIt ended with the fall of the USSR.","cold war, usa, soviet"
"Renaissance","History","Beginner","A period of cultural rebirth in Europe, marked by art, science, and discovery.","[""Why was Florence important?"",""How did art reflect new ideas?""]","From the 14th–17th centuries, Europe experienced a revival of learning.\nIt produced figures like Leonardo da Vinci and Michelangelo.","renaissance, art, europe"
"Industrial Revolution","History","Beginner","A time of rapid change when machines transformed production and societies.","[""Why did it start in Britain?"",""How did it change daily life?""]","Beginning in the 18th century, industrialization spread globally.\nIt created factories, cities, and new social classes.","industry, britain, change"
"Great Depression","History","Beginner","A worldwide economic crisis that began with the U.S. stock market crash of 1929.","[""Why did banks fail?"",""How did people survive hardship?""]","From 1929 to the late 1930s, economies collapsed worldwide.\nUnemployment and poverty soared until WWII recovery.","economy, usa, crisis"
"Civil Rights Movement","History","Beginner","The struggle for equality by African Americans in the United States during the 1950s–60s.","[""Why was nonviolence powerful?"",""What laws came from the movement?""]","Leaders like Martin Luther King Jr. fought segregation.\nIt led to the Civil Rights Act of 1964.","usa, rights, equality"
"Exploration of the Americas","History","Beginner","The period when Europeans discovered and colonized the New World.","[""Why did explorers sail west?"",""How did colonization change lives?""]","Columbus arrived in 1492, opening the Americas to European colonization.\nIt reshaped global trade and cultures.","exploration, colonization, americas"
"Ancient Egypt","History","Beginner","A civilization along the Nile River known for pyramids and pharaohs.","[""Why was the Nile so important?"",""How did Egyptians build pyramids?""]","Egyptian civilization lasted over 3,000 years.\nIt influenced art, writing, and architecture.","egypt, pyramids, pharaohs"
"Roman Empire","History","Beginner","One of history’s most powerful empires, spanning Europe, Africa, and Asia.","[""Why was Rome so successful?"",""What caused its decline?""]","Rome ruled from 27 BCE to 476 CE in the West.\nIts laws, language, and culture shaped Europe.","rome, empire, europe"
"Ancient Greece","History","Beginner","A civilization that produced philosophy, democracy, and Olympic games.","[""Why is Athens important?"",""What did Greece give the world?""]","Greek civilization thrived between 800–146 BCE.\nIt laid foundations for politics, art, and science.","greece, democracy, olympics"
"Chinese Dynasties","History","Beginner","Powerful ruling families that shaped China’s long history.","[""Why did dynasties last so long?"",""What inventions came from China?""]","From the Shang to Qing dynasties, China advanced in technology and culture.\nThey introduced paper, printing, and gunpowder.","china, dynasties, inventions"
"American Civil War","History","Beginner","A conflict between the Union and Confederacy in the U.S. over slavery and unity.","[""Why was slavery central?"",""How did Lincoln lead the Union?""]","The war lasted from 1861–1865.\nIt ended slavery and preserved the United States.","civil war, usa, slavery"
"Crusades","History","Beginner","A series of religious wars between Christians and Muslims for control of holy lands.","[""Why did people join the Crusades?"",""How did they change Europe?""]","The Crusades took place between the 11th–13th centuries.\nThey connected Europe and the Middle East.","religion, crusades, holy land"
"Fall of the Berlin Wall","History","Beginner","The 1989 event symbolizing the end of the Cold War and German division.","[""Why did the wall fall?"",""How did reunification affect Europe?""]","The Berlin Wall separated East and West Berlin since 1961.\nIts fall in 1989 led to German unity.","berlin, wall, germany"
"Discovery of America","History","Beginner","The voyages of Christopher Columbus, leading to European awareness of the Americas.","[""Why was 1492 significant?"",""How did it affect native peoples?""]","Columbus crossed the Atlantic in 1492 under Spain’s flag.\nHis arrival began lasting contact with the Americas.","columbus, discovery, 1492"
"Ancient Mesopotamia","History","Beginner","The region where some of the first cities, writing, and laws developed.","[""Why is it called the 'cradle of civilization'?"",""What inventions came from it?""]","Mesopotamia lay between the Tigris and Euphrates rivers.\nIt birthed writing, codes of law, and agriculture.","mesopotamia, civilization, writing"
"Vietnam War","History","Beginner","A conflict between communist North Vietnam and U.S.-backed South Vietnam.","[""Why did the U.S. join the war?"",""How did it end?""]","The war lasted from the 1950s to 1975.\nIt ended with North Vietnam’s victory and U.S. withdrawal.","vietnam, war, usa"
"Russian Revolution","History","Beginner","The uprising that ended the Russian monarchy and led to Soviet power.","[""Why did the Tsar fall?"",""How did communism spread?""]","In 1917, revolution overthrew Tsar Nicholas II.\nThe Bolsheviks, led by Lenin, seized control.","russia, revolution, soviet"
"Space Race","History","Beginner","The Cold War competition between the U.S. and USSR to explore space.","[""Why was space exploration symbolic?"",""How did it inspire science?""]","The race began in the 1950s with Sputnik.\nIt culminated in the U.S. moon landing in 1969.","space, nasa, soviet"
"Hiroshima and Nagasaki","History","Beginner","The Japanese cities where the U.S. dropped atomic bombs to end WWII.","[""Why were atomic bombs used?"",""How did they change warfare?""]","In August 1945, two bombs killed thousands.\nThe attacks led to Japan’s surrender and nuclear age.","wwii, atomic, japan"
"Cold War Berlin","History","Beginner","The divided city that symbolized East–West rivalry during the Cold War.","[""Why was Berlin divided?"",""How did life differ across sides?""]","Berlin was split after WWII between Soviets and Allies.\nIt was a hotspot of Cold War tensions.","berlin, cold war, germany"
"Magna Carta","History","Beginner","An English charter limiting royal power and inspiring later rights.","[""Why was it signed?"",""How did it influence democracy?""]","Signed in 1215 by King John.\nIt established principles that influenced later constitutions.","england, law, rights"
"Trail of Tears","History","Beginner","The forced relocation of Native American tribes from their lands in the 1830s.","[""Why were tribes displaced?"",""How did it affect them?""]","The U.S. government forced tribes like the Cherokee westward.\nThousands died during harsh journeys.","native american, usa, removal"
"Berlin Airlift","History","Beginner","A Western response to Soviet blockade of Berlin by supplying goods by air.","[""Why was the airlift necessary?"",""What did it show about Cold War tensions?""]","From 1948–1949, Allied planes supplied West Berlin.\nIt symbolized determination against Soviet pressure.","berlin, cold war, airlift"
"Fall of Rome","History","Beginner","The decline of the Western Roman Empire in 476 CE.","[""Why did Rome weaken?"",""What legacy did it leave?""]","Rome fell after centuries of decline, invasions, and division.\nIt marked the end of ancient Europe’s dominant empire.","rome, empire, fall"
"Boston Tea Party","History","Beginner","A protest in 1773 where colonists dumped British tea to oppose taxes.","[""Why was tea a symbol?"",""How did this protest fuel revolution?""]","American colonists opposed British taxation.\nThe Boston Tea Party became a spark for revolution.","usa, protest, tea"
"Fall of Constantinople","History","Intermediate","The 1453 conquest of Constantinople by the Ottomans ended the Byzantine Empire.","[""Why was Constantinople strategically vital?"",""How did its fall reshape Europe?""]","Constantinople fell to Mehmed II’s Ottoman forces in 1453.\nIt marked a turning point, spurring exploration westward.","byzantine, ottoman, conquest"
"Protestant Reformation","History","Intermediate","A 16th-century movement challenging Catholic authority, leading to new Christian denominations.","[""Why did Martin Luther’s ideas spread so fast?"",""How did printing fuel reform?""]","Martin Luther’s 95 Theses in 1517 criticized indulgences.\nIt sparked religious division and wars across Europe.","religion, reformation, europe"
"Glorious Revolution","History","Intermediate","The 1688 overthrow of King James II in England, establishing constitutional monarchy.","[""Why did Parliament resist James II?"",""How did it influence democracy?""]","The revolution replaced James II with William and Mary.\nIt confirmed parliamentary sovereignty and a Bill of Rights.","england, monarchy, parliament"
"Scientific Revolution","History","Intermediate","A period of major advances in science and reason between the 1500s–1700s.","[""How did observation challenge old ideas?"",""Why did it shift authority from church to science?""]","Thinkers like Copernicus, Galileo, and Newton advanced astronomy and physics.\nIt laid foundations for modern science.","science, europe, discovery"
"Enlightenment","History","Intermediate","An intellectual movement emphasizing reason, rights, and secularism.","[""Why did Enlightenment ideas inspire revolutions?"",""How did they challenge monarchies?""]","In the 17th–18th centuries, thinkers like Voltaire and Locke promoted reason and liberty.\nTheir ideas shaped constitutions and revolutions.","philosophy, liberty, europe"
"Haitian Revolution","History","Intermediate","A successful slave revolt (1791–1804) that created the first free Black republic.","[""Why was Haiti’s revolution unique?"",""How did it affect slavery worldwide?""]","Led by Toussaint Louverture, enslaved Haitians overthrew French rule.\nIt inspired global movements for freedom.","haiti, revolution, slavery"
"Meiji Restoration","History","Intermediate","The 1868 reform period that rapidly modernized Japan’s economy, military, and government.","[""Why did Japan modernize so quickly?"",""How did it balance tradition and change?""]","The Meiji Restoration replaced shogunate rule with imperial power.\nIt industrialized Japan and reformed society.","japan, modernization, meiji"
"Russian Revolution of 1917","History","Intermediate","A pair of revolutions that dismantled the monarchy and brought the Bolsheviks to power.","[""Why did the Tsar lose legitimacy?"",""How did Lenin seize power?""]","In 1917, protests and strikes toppled Tsar Nicholas II.\nThe Bolsheviks under Lenin established Soviet rule.","russia, revolution, soviet"
"Indian Independence Movement","History","Intermediate","The struggle against British colonial rule, leading to India’s independence in 1947.","[""Why was nonviolent protest effective?"",""How did partition reshape South Asia?""]","Figures like Gandhi and Nehru led protests and negotiations.\nBritain left India in 1947, dividing it into India and Pakistan.","india, independence, colonialism"
"American Civil Rights Act of 1964","History","Intermediate","Landmark U.S. legislation banning segregation and discrimination.","[""Why was it hard to pass?"",""How did activism push lawmakers?""]","Signed by President Lyndon B. Johnson in 1964.\nIt was a major victory for civil rights activists.","usa, rights, law"
"Berlin Blockade and Airlift","History","Intermediate","The Soviet blockade of Berlin in 1948 and the Allied effort to supply the city by air.","[""Why was airlift successful?"",""How did it shape Cold War tensions?""]","From 1948–1949, Soviets cut off West Berlin.\nAllies flew supplies for nearly a year until blockade ended.","berlin, cold war, airlift"
"Treaty of Versailles","History","Intermediate","The 1919 treaty that ended WWI but imposed harsh penalties on Germany.","[""Why did the treaty breed resentment?"",""How did it lead to WWII?""]","The treaty blamed Germany for WWI.\nIt imposed reparations and territorial losses, fueling extremism.","wwi, treaty, germany"
"Berlin Wall","History","Intermediate","A concrete barrier built in 1961 dividing East and West Berlin.","[""Why did East Germany build it?"",""How did it symbolize the Cold War?""]","The wall separated East and West for 28 years.\nIt fell in 1989, leading to reunification.","berlin, germany, cold war"
"Spanish Civil War","History","Intermediate","A conflict (1936–1939) between Republicans and Nationalists in Spain, leading to dictatorship.","[""Why was the war a 'testing ground' for WWII?"",""How did it shape Spanish politics?""]","The Nationalists, led by Franco, defeated Republicans.\nThe war previewed WWII alliances and strategies.","spain, civil war, franco"
"Partition of India","History","Intermediate","The 1947 division of British India into India and Pakistan, causing massive migrations.","[""Why was partition so violent?"",""How did it affect South Asia?""]","Partition displaced millions and caused communal violence.\nIt created two new nations with lasting tensions.","india, pakistan, partition"
"Opium Wars","History","Intermediate","Conflicts between Britain and China over trade and sovereignty in the 1800s.","[""Why did opium trigger conflict?"",""How did the wars weaken China?""]","Britain forced opium trade into China.\nTwo wars (1839–42, 1856–60) led to unequal treaties and concessions.","china, britain, opium"
"Cuban Missile Crisis","History","Intermediate","A 1962 Cold War standoff over Soviet missiles in Cuba, nearly leading to nuclear war.","[""Why was the crisis so dangerous?"",""How was it resolved?""]","U.S. discovered Soviet missiles in Cuba.\nA tense standoff ended with withdrawal deals between Kennedy and Khrushchev.","usa, soviet, cuba"
"Abolition of Slavery in Britain","History","Intermediate","The 1833 act that ended slavery across the British Empire.","[""Why did abolitionists succeed?"",""What impact did it have globally?""]","The 1833 Abolition Act freed enslaved people in British colonies.\nIt influenced other nations’ anti-slavery efforts.","britain, slavery, abolition"
"Women’s Suffrage Movement","History","Intermediate","Campaigns for women’s right to vote, achieved in stages worldwide.","[""Why did suffragists persist?"",""How did wars accelerate change?""]","Women gained voting rights at different times.\nIn the U.S. it came in 1920, Britain in 1918.","suffrage, women, rights"
"Marshall Plan","History","Intermediate","U.S. program providing aid to rebuild Europe after WWII.","[""Why did the U.S. fund Europe?"",""How did aid shape the Cold War?""]","Launched in 1948, the Marshall Plan gave billions to Western Europe.\nIt strengthened allies against Soviet influence.","usa, europe, aid"
"Battle of Stalingrad","History","Intermediate","A major WWII battle where Soviet forces defeated Germany, turning the tide of war.","[""Why was it so brutal?"",""How did geography affect it?""]","From 1942–1943, Stalingrad saw fierce fighting.\nIt marked the beginning of Germany’s retreat.","wwii, soviet, germany"
"Great Fire of London","History","Intermediate","A 1666 fire that destroyed much of London but led to modern rebuilding.","[""Why did the fire spread so fast?"",""How did it change urban planning?""]","The fire started in a bakery and burned for four days.\nIt destroyed thousands of homes and led to safer construction.","england, fire, london"
"Fall of the Soviet Union","History","Intermediate","The 1991 collapse of the USSR ended the Cold War and created new nations.","[""Why did the USSR collapse?"",""How did it affect the world?""]","Economic problems, reforms, and independence movements weakened the USSR.\nIt officially dissolved in December 1991.","ussr, collapse, cold war"
"Trail of Tears","History","Intermediate","The forced relocation of Native Americans in the 1830s under U.S. policy.","[""Why was removal so devastating?"",""How does it reflect U.S. expansion?""]","Tribes like the Cherokee were forced westward.\nThousands died on the harsh journey.","usa, native american, removal"
"Treaty of Westphalia","History","Intermediate","The 1648 treaties ending the Thirty Years’ War, shaping modern state sovereignty.","[""Why is sovereignty key?"",""How did it reshape Europe?""]","The treaties ended decades of war in Europe.\nThey established principles of non-interference and state borders.","europe, treaty, sovereignty"
"Reconstruction in the U.S.","History","Intermediate","The post–Civil War period of rebuilding the South and expanding rights for freed slaves.","[""Why did Reconstruction face resistance?"",""What long-term effects did it have?""]","From 1865–1877, Reconstruction sought to rebuild Southern states.\nIt brought amendments but met with backlash.","usa, civil war, reconstruction"
"Fall of the Qing Dynasty","History","Intermediate","The 1911 revolution that ended imperial rule in China and created a republic.","[""Why did dynastic rule collapse?"",""How did reformers shape the change?""]","China’s Qing dynasty fell after internal unrest and foreign pressure.\nThe 1911 revolution created the Republic of China.","china, qing, revolution"
"American New Deal","History","Intermediate","Franklin D. Roosevelt’s economic programs responding to the Great Depression.","[""Why was government intervention needed?"",""How did it change U.S. politics?""]","Launched in the 1930s, the New Deal expanded welfare and jobs programs.\nIt reshaped expectations of government role.","usa, depression, policy"
"Decolonization of Africa","History","Intermediate","The mid-20th-century wave of African nations gaining independence from Europe.","[""Why did decolonization accelerate?"",""How did Cold War politics influence it?""]","After WWII, African nations pressed for independence.\nBy the 1960s, dozens of new countries emerged.","africa, independence, colonialism"
"Great Schism","History","Intermediate","The 1054 split between the Roman Catholic and Eastern Orthodox Churches.","[""Why did Christianity divide?"",""How did it affect Europe?""]","Doctrinal disputes and political differences led to the Great Schism.\nIt created lasting divisions in Christianity.","church, religion, schism"
"Peloponnesian War","History","Advanced","A decades-long conflict between Athens and Sparta that reshaped ancient Greece.","[""Why did Athens and Sparta clash?"",""How did Thucydides shape our view of war?""]","Fought from 431–404 BCE, the war ended Athens’ dominance.\nThucydides’ account remains a foundational history of conflict.","greece, war, sparta"
"Fall of the Western Roman Empire","History","Advanced","The 476 CE collapse marked a shift from classical antiquity to the medieval world.","[""Why did Rome fall—internal decay or outside invasions?"",""How did its legacy endure?""]","Historians debate causes from economics to military decline.\nThe fall reshaped Europe’s political and cultural order.","rome, empire, decline"
"Black Death","History","Advanced","A mid-14th century plague that devastated Europe and changed societies.","[""Why did the Black Death spread so fast?"",""How did it alter economics and religion?""]","The plague killed up to a third of Europe’s population.\nIt spurred labor changes and shifts in religious authority.","plague, europe, pandemic"
"French Revolution’s Reign of Terror","History","Advanced","A radical phase of the revolution marked by executions and fear.","[""Why did revolution turn violent?"",""How does terror affect legitimacy?""]","From 1793–1794, Robespierre’s Committee of Public Safety used terror.\nTens of thousands were executed before his fall.","france, revolution, terror"
"Taiping Rebellion","History","Advanced","A massive 19th-century Chinese civil war led by a heterodox Christian movement.","[""Why was the rebellion so destructive?"",""How did it expose Qing weakness?""]","Lasting from 1850–1864, the rebellion caused millions of deaths.\nIt sought radical reforms but failed against Qing forces.","china, rebellion, qing"
"Thirty Years’ War","History","Advanced","A devastating European conflict blending religion and politics.","[""Why did the war last so long?"",""How did it reshape state sovereignty?""]","Fought 1618–1648, the war ravaged much of Central Europe.\nIt ended with the Treaty of Westphalia.","europe, war, religion"
"Fall of the Byzantine Empire","History","Advanced","The 1453 conquest of Constantinople ended over a millennium of Byzantine rule.","[""Why did Byzantium endure so long?"",""What cultural legacies did it leave?""]","The Ottomans, led by Mehmed II, conquered the city.\nByzantium preserved Greek and Roman traditions for centuries.","byzantine, ottoman, constantinople"
"Spanish Conquest of the Aztecs","History","Advanced","Hernán Cortés’ campaign toppled the Aztec Empire in the early 1500s.","[""Why did a small force defeat an empire?"",""How did alliances and disease matter?""]","Cortés allied with enemies of the Aztecs.\nSmallpox epidemics weakened resistance, enabling conquest.","aztec, conquest, spain"
"Atlantic Slave Trade","History","Advanced","The forced transport of millions of Africans to the Americas over centuries.","[""Why was slavery tied to capitalism?"",""How did it shape societies?""]","From the 1500s–1800s, the transatlantic trade fueled economies.\nIt left lasting demographic and cultural impacts.","slavery, atlantic, trade"
"Russian Revolution’s Civil War","History","Advanced","The multi-sided civil war after 1917 that secured Bolshevik control.","[""Why did the Reds defeat the Whites?"",""How did foreign intervention affect the war?""]","From 1917–1922, Red and White forces battled.\nBolshevik victories cemented Soviet power.","russia, soviet, civil war"
"Fall of the Ming Dynasty","History","Advanced","The collapse of the Ming dynasty in 1644 led to Qing rule in China.","[""Why did Ming governance weaken?"",""How did rebels and invaders succeed?""]","The Ming fell due to corruption, fiscal problems, and invasions.\nManchu forces established the Qing dynasty.","china, ming, qing"
"Battle of Hastings","History","Advanced","The 1066 battle where William of Normandy conquered England.","[""Why did the Normans prevail?"",""How did conquest reshape England?""]","William’s victory over Harold II changed English culture.\nIt introduced Norman law, language, and governance.","england, norman, conquest"
"Great Schism of 1378","History","Advanced","The split within the Catholic Church where rival popes claimed authority.","[""Why did papal schism undermine the Church?"",""How did it end?""]","From 1378–1417, rival popes ruled from Rome and Avignon.\nIt ended at the Council of Constance.","church, schism, catholic"
"American Civil War Reconstruction","History","Advanced","The fraught period after the Civil War aiming to rebuild and integrate the South.","[""Why did Reconstruction falter?"",""How did it shape race relations?""]","Reconstruction (1865–1877) expanded rights for freedmen.\nIt collapsed amid political compromise and violence.","usa, civil war, reconstruction"
"Partition of Africa","History","Advanced","The European division of Africa at the Berlin Conference (1884–85).","[""Why did Europe partition Africa?"",""What legacies remain?""]","European powers carved Africa into colonies.\nBoundaries ignored ethnic and cultural realities.","africa, colonialism, berlin"
"Atomic Bombings of Japan","History","Advanced","The U.S. use of nuclear weapons on Hiroshima and Nagasaki in 1945.","[""Why did Truman choose nuclear weapons?"",""How did bombings affect geopolitics?""]","Two atomic bombs forced Japan’s surrender.\nThey began the nuclear age and debates over ethics.","wwii, atomic, japan"
"Treaty of Versailles Debate","History","Advanced","The contested treaty ending WWI, criticized for punishing Germany too harshly.","[""Did Versailles cause WWII?"",""How did different powers view it?""]","Signed in 1919, the treaty blamed Germany for war.\nIt is debated as both peace settlement and seed of conflict.","wwi, treaty, germany"
